156.28,619.36
161.76,707.11
172.37,794.19
190.35,881.38
221.78,965.31
272.89,1037.8
339.23,1095.3
414.38,1138.9
498.95,1155.6
584.09,1139.2
658.18,1092.9
721.54,1031.5
770,956.74
800.25,872.91
817.2,787.18
826.45,701.98
828.85,616.16
227.93,532.19
263.96,498.5
312,481.37
363.62,480.82
414.4,490.92
589.54,492.71
636.96,482.39
685.54,482.25
731.03,496.88
765.48,527.5
507.98,589.99
509.7,645.17
511.3,700.1
512.68,754.61
449.48,801.94
480.26,810.76
512.15,814.74
541.77,810.56
570.15,801.51
296.6,604.3
330.29,586.26
369.63,585.25
403.14,601.44
367.93,610.61
331.08,612.52
597.34,602.07
630.11,586.18
668.75,585.9
701.95,603.39
668.42,612.37
632.09,610.47
376.57,928.72
413.53,899.75
459.08,879.42
509.73,884.53
558.17,879.25
601.21,899.24
634.32,928.61
604.14,969.75
561.02,998.53
508.35,1007.7
454.49,998.16
409.7,969.34
448.97,913.36
509.42,914.38
566.88,913.35
568.07,950.47
509.16,962.13
447.94,950.64
